,course_title,course_organization,course_price,course_students_enrolled,course_description,course_Certificate_type,course_difficulty,course_rating
0,Pintura digital: retratos femeninos de estilo fantástico,Un curso de Fernanda Maya,"21,99€",10,Aprende todo el proceso para ilustrar desde Photoshop retratos femeninos con alma a partir de temas fantásticos,,,
1,Realización de documentales cinematográficos,Un curso de Chloe White,"21,99€",44,"Aprende a grabar un documental a partir de un cortometraje sobre el tema que prefieras, desde la investigación inicial hasta el proceso de posproducción",,,
2,Publicidad programática desde cero,Un curso de Jannis Poestges,"21,99€",32,"Aprende qué es la publicidad programática y descubre los métodos innovadores de este enfoque online para potenciar visibilidad, interacción y conversión",,,
3,Técnicas decorativas y de color para encuadernación,Un curso de Susana Dominguez Martin,"21,99€",67,"Aprende cómo decorar el cuero curtido, el cuero vegano o el papel con tintes y colores acrílicos para aplicarlo en tus proyectos de encuadernación",,,
4,Adobe Audition desde cero,Un curso de Mike Murphy,"9,99€",102,"Aprende paso a paso a usar esta herramienta precisa de edición de audio para crear, editar, mezclar y mejorar podcasts y proyectos de audio de forma profesional",,,
5,Storytelling visual para ilustraciones cautivadoras,Un curso de R. Kikuo Johnson,"18,99€",230,Aprende a contar una historia envolvente con tan solo una imagen a través de la ilustración narrativa y de ejercicios de dibujo con el estilo y el medio que prefieras,,,
6,Carpintería: fabrica tu primer mueble,Un curso de Eva Mota,"23,99€",100,Aprende a trabajar la madera para dar tus primeros pasos en la creación de muebles personalizados,,,
7,Fotografía de moda street style desde cero,Un curso de Denisse Myrick,"23,99€",69,"Juega con las poses, la ubicación, el estilismo o la edición y crea tomas urbanas y vanguardistas listas para compartir en Instagram",,,
8,Creación de contenido para redes sociales: vence al algoritmo,Un curso de Luciana Castro,"21,99€",218,Aprende a producir contenido digital creativo que conecte con el público y da vida a campañas online ingeniosas,,,
9,Ilustración de personajes imaginarios con acuarela,Un curso de Emma Thrussell,"23,99€",166,Aprende a crear personajes divertidos desde tu imaginación con técnicas de diseño y acuarela,,,
10,Concept art: crea fotogramas clave cinemáticos de ciencia ficción,Un curso de Julian Calle,"19,99€",122,"Aprende técnicas 2D y 3D en ZBrush, Octane Render y Photoshoppara diseñar, modelar y renderizar una pieza llamativa de ciencia ficción",,,
11,Diseño de páginas web innovadoras y creativas,Un curso de Contra Studio,"19,99€",152,Conoce el proceso y las herramientas para crear sitios web informativos e interactivos que sorprendan y estén a la altura de tus proyectos más creativos,,,
12,Diseño de letras 3D cromadas con Procreate,Un curso de Aurelie Maron,"19,99€",291,"Aprende a aportar dinamismo y energía a tus composiciones de lettering explorando colores, sombras, texturas y efectos con la aplicación de Procreate",,,
13,Comunicación disruptiva de marcas,Un curso de Felipe Libano,"19,99€",151,Descubre cómo desarrollar y llevar a cabo ideas de impacto para comunicar y lanzar productos o negocios,,,
14,Fabricación de jabones naturales para principiantes,Un curso de Marta Tarallo,"19,99€",417,"Aprende a elaborar tu propio jabón botánico desde cero utilizando ingredientes, tintes y aromas completamente naturales",,,
15,Ilustración narrativa: crea tu primer libro álbum infantil,Un curso de Pablo Bernasconi,"19,99€",411,"Aprende cómo crear un libro álbum, desde el layout narrativo hasta la decisión de las imágenes del interior, explorando técnicas mixtas y el collage digital",,,
16,Cinemáticas animadas en 3D con After Effects y Cinema 4D,Un curso de Ross Sneddon,"19,99€",217,"Aprende a usar la composición, la edición y el flujo de trabajo para convertir ideas complejas en escenarios emotivos con Illustrator, After Effects y Cinema 4D",,,
17,Retrato y pintura digital de la piel negra,Un curso de Wilno Fakie,"19,99€",131,Aprende a ilustrar y pintar la diversidad de los rasgos afrodescencientes en Photoshop con los tonos y la iluminación adecuada para cada situación,,,
18,Dibujo digital con Procreate: ilustra tu década favorita,Un curso de Cat Willett,"19,99€",70,"Aprende a usar las herramientas de Procreate para crear ilustraciones inspiradas en la época que prefieras y explora colores, luces, sombras y efectos.",,,
19,Diseño y patronaje de calzado,Un curso de Agus Golub (Abelarda Zapatos),"19,99€",362,"Aprende a crear un molde base que te servirá para diseñar varios modelos de zapatos, y desarrolla desde el encintado de la horma a la ficha técnica",,,
20,Introducción a la técnica tradicional encáustica,Un curso de Daniel Bahena García,"19,99€",477,"Adéntrate al mundo de la encáustica y aprende a usarla sobre técnicas mixtas, como la pintura, la transferencia y el papel calado",,,
21,Escritura de obras infantiles de teatro,Un curso de Piers Torday,"19,99€",136,"Sube el telón de tus ideas y aprende a escribir obras de teatro infantiles para toda la familia, desde la inspiración inicial hasta la noche del estreno",,,
22,Fotografía lifestyle de interiores para publicidad,Un curso de Susie Lowe,"19,99€",325,"Aprende a capturar la esencia de un espacio combinando composiciones, técnicas de iluminación, styling y edición para contar historias atractivas",,,
23,Branding minimalista: crea imágenes claras y directas,Un curso de Carl Forssell,"19,99€",256,Aprende a desarrollar el branding de una marca con estilo minimalista desde la concepción de la idea hasta la presentación al cliente,,,
24,Técnicas de ilustración para crear arte botánico contemporáneo,Un curso de Rommygon ☻,"19,99€",247,"Aprende a plasmar las maravillas de la naturaleza sobre el papel empleando tinta, lápices, acuarelas y gouache para dar vida a tu visión del mundo botánico",,,
25,Ilustración y encuadernación de libros en miniatura,Un curso de Evan Lorenzen,"19,99€",686,Aprende a fabricar un libro diminuto desde cero y llénalo de ilustraciones a microescala repletas de detalles capaces de contar una historia,,,
26,Técnicas de gouache y collage para ilustración narrativa,Un curso de Enrique Torralba,"19,99€",222,Aprende cómo ampliar tus fronteras de expresión mezclando el gouache y el collage para producir conceptos narrativos,,,
27,Lanzamiento de un negocio en redes sociales desde cero,Un curso de Sapphire Bates,"19,99€",467,Aprende a desarrollar una estrategia de emprendimiento digital eficiente y lanza el negocio de tus sueños mediante contenido llamativo para crear tu audiencia,,,
28,Creación de acuarelas líquidas y tintas botánicas,Un curso de Gina y Miguel (Tortolita Inventiva),"14,99€",1655,Aprende a extraer tintes de la naturaleza y desarrolla tu propia colección de tinturas sostenibles,,,
29,"Fotografía de estudio para producto: color, styling y edición",Un curso de Lizzie Darden,"14,99€",228,"Crea fotografías de producto desde tu estudio explorando el diseño del set, la iluminación, la composición y técnicas de retoque fotográfico en Photoshop",,,
30,Estrategia creativa para publicidad,Un curso de Laura Visco,"14,99€",201,Aprende a desarrollar una estrategia creativa para promocionar una marca a través de una campaña publicitaria impactante que conecte con el público,,,
31,Ilustración infantil con Procreate: crea escenas mágicas,Un curso de Lucy Fleming,"14,99€",3606,Atrae al público infantil aprendiendo cómo ilustrar un cuento infantil con Procreate para representar escenas mágicas y personajes encantadores,,,
32,Creación de pendientes de arcilla polimérica con efecto mármol,Un curso de Ochre Handmade,"14,99€",360,"Aprende paso a paso a crear tus propios aretes con arcilla polimérica, desde la idea inicial hasta los toques finales, y prepárate para marcar tendencia",,,
33,Identidad visual para productos,Un curso de HI ESTUDIO,"14,99€",61,"Aprende a contar la historia de un producto a través de su empaque, nombre y elementos gráficos para que perdure en el corazón de los consumidores",,,
34,Fotografía humanista: captura la esencia de tu protagonista,Un curso de Hugo Santarem Rodrigues,"14,99€",131,Aprende a transmitir historias y culturas con tu cámara y cambia tu perspectiva sobre ti y sobre otras personas,,,
35,Diseño de moda digital streetwear con CLO 3D y Cinema 4D,Un curso de Stephy Fung,"14,99€",1045,Aprende a crear ropa digital con CLO 3D y muestra tus diseños mediante un clip animado usando Cinema 4D y After Effects,,,
36,Ilustración de tatuajes blackwork desde cero,Un curso de Mazvtier,"14,99€",631,"Crea ilustraciones para tatuajes llenas de contraste, dinamismo y armonía y haz realidad las ideas de tus clientes",,,
37,Dibujo y retrato gestual expresivo,Un curso de Graceina Samosir,"14,99€",740,"Aprende a ilustrar un collage artístico lleno de detalles y movimiento explorando diferentes técnicas de dibujo con carboncillo, tiza y tinta",,,
38,Cerámica: técnicas para crear acabados con texturas,Un curso de LUIS CARDENAS,"14,99€",156,Aprende a crear acabados y texturas cerámicas sorprendentes a partir de la experimentación y la combinación de materiales con la arcilla,,,
39,Creación de podcasts paso a paso: cuenta historias que inspiren,Un curso de Gilly Smith,"14,99€",326,"Aprende cómo planificar, producir y editar tu propio podcast desde cero y logra conectar con tu audiencia a través de temas relevantes",,,
40,Diseño de retratos a todo color con Photoshop,Un curso de Temi Coker,"14,99€",742,Aprende a combinar diseño gráfico y fotografía de retrato para crear composiciones expresivas que reflejen tu cultura e identidad,,,
41,"Diseño mobile-first con Figma: concepto, diseño y prototipado",Un curso de Lucas Nikitczuk,"19,99€",162,Aprende a desarrollar un concepto para cualquier sitio web móvil y crea una experiencia impactante para los usuarios,,,
42,"Dibujo arquitectónico con realismo, riqueza y detalle",Un curso de Preeti Dubey,"14,99€",459,Aprende a resaltar cada detalle arquitectónico con el dibujo y transforma construcciones en obras de arte en blanco y negro o a todo color llenas de realismo,,,
43,Introducción a la pintura de miniaturas,Un curso de Angel Giraldez,"14,99€",4728,"Aprende técnicas de pintura, volumetría y color para dar vida a figuras de muy pequeña escala con tus propias manos",,,
44,Álbumes ilustrados: explora el color y la composición,Un curso de Melissa Castrillón,"14,99€",1613,Aprende a crear álbumes ilustrados llamativos utilizando estructuras armónicas y una paleta cromática coherente experimentando con medios y texturas,,,
45,Diseño de un bullet journal ilustrado desde cero,Un curso de Manon Pons,"14,99€",434,Descubre cómo planificar y organizar a todo color tu agenda creando un bullet journal ilustrado mediante técnicas de gouache y acuarela,,,
46,Diseño UX UI para landing pages: cuenta una historia única,Un curso de Juan Mora,"14,99€",524,"Aprende a crear una landing page con Figma, conectando con los usuarios a través del storytelling",,,
47,Creación de collages con elementos botánicos,Un curso de Manuela Eichner,"19,99€",88,"Aprende a explorar plantas, colores y formas para componer obras capaces de despertar los sentidos",,,
48,Arte digital y diseño para encontrar el color dentro del caos,Un curso de Adhemas Batista,"14,99€",181,"Explora técnicas de diseño, aprende a usar eficazmente el color y descubre cómo transformar tus influencias culturales en una obra llena de felicidad y caos",,,
49,Retratos de fantasía en Procreate,Un curso de Camila Castro Yong,"14,99€",176,Aprende cómo añadir alma y textura a tus retratos a través de técnicas digitales que simulan los acabados del dibujo tradicional,,,
50,Creación de bolsos de piel personalizados cosidos a mano,Un curso de Beth Dow,"14,99€",516,Aprende desde cero a fabricar bolsos artesanales con texturas únicas utilizando cuero curtido al vegetal y la técnica del punto guarnicionero,,,
51,Retrato fotográfico analógico: capta la esencia de tu comunidad,Un curso de Kendall Bessent,"19,99€",125,Aprende las claves de la fotografía analógica con tu cámara y descubre cómo usar los detalles para crear retratos evocadores,,,
52,Creación de videos con smartphone para Instagram y TikTok,Un curso de That Icelandic Guy,"14,99€",630,"Potencia tu estrategia en redes sociales y capta la atención de tu audiencia aprendiendo a idear, grabar y editar videos creativos con tu smartphone",,,
53,Creación de sellos con tipografía e imágenes,Un curso de Maria López,"16,99€",630,Aprende técnicas de carvado sobre goma y crea sellos personalizados combinando letras e imágenes,,,
54,Edición creativa de videos musicales con Premiere Pro,Un curso de Camille Getz,"23,99€",150,Aprende a utilizar Premiere Pro para crear montajes profesionales que refuercen la identidad de cada artista y reflejen el ritmo y la narrativa de la música,,,
55,Técnicas de acuarela para diseño gráfico,Un curso de Glenn Wolk,"19,99€",128,Explora la espontaneidad de las acuarelas junto con el lettering y la ilustración antes de editar tu pieza en Photoshop e Illustrator para crear diseños únicos,,,
56,Introducción a la producción musical pop,Un curso de Martin Kano,"16,99€",277,"Aprende cómo producir profesionalmente canciones de uno de los géneros musicales más exitosos experimentando con la edición, los arreglos y el mastering",,,
57,Estrategias de marketing basadas en data,Un curso de Sebastián Buitrago,"23,99€",133,Aprende a interpretar los datos para construir y ejecutar estrategias de marketing eficaces que harán crecer tu negocio,,,
58,Ilustración digital para expresar tus ideas y valores,Un curso de Lo Harris,"16,99€",87,Aprende a crear obras de arte digital con Procreate que manifiesten tu manera de ver el mundo,,,
59,Amigurumis de animales con crochet,Un curso de Bia Moraes,"16,99€",429,Aprende a tejer amigurumis y a personalizar un patrón base para dar vida a animales adorables que conquisten a todo el mundo,,,
60,Diseño de personajes con identidad en Procreate,Un curso de Natália Dias,"23,99€",367,"Aprende a crear personajes en Procreate, así como los gestos y poses que transmitan quiénes son, qué hacen y dónde viven",,,
61,Introducción a la elaboración de jabones artesanales creativos,Un curso de Mar Amoli,"16,99€",1513,"Descubre la cosmética natural y aprende a crear jabones originales respetuosos con el medio ambiente, mediante el proceso de saponificación en frío",,,
62,Diseño de interiores basado en la ciencia para espacios creativos,Un curso de Donald M. Rattner,"14,99€",220,"Descubre cómo aplicar la ciencia al diseño de interiores y crea espacios que potencien la creatividad, la colaboración y la innovación",,,
63,Diseño 3D de libreas y adhesivos para coches digitales desde cero,Un curso de Davide Virdis,"16,99€",879,Aprende a diseñar y renderizar libreas de coches de carreras personalizados con Blender y dales vida con adhesivos llamativos en Illustrator,,,
64,Pintura en acuarela de paisajes marinos,"Un curso de Daniel ""Pito"" Campos","14,99€",1593,Aprende cómo decodificar un paisaje marino en manchas de pigmento y conoce los secretos para pintar con destreza en acuarela,,,
65,Ilustración de cuentos infantiles con personajes y escenarios,Un curso de Daniel Wu,"19,99€",425,Aprende a ilustrar un libro infantil con tu propio estilo usando el poder de la narrativa,,,
66,Entrenamiento de la confianza creativa: libera tu potencial,Un curso de Diana Varma,"19,99€",698,"Aprende a transformar tus retos personales en el motor de tu creatividad con un método eficiente basado en tus valores, motivaciones y objetivos",,,
67,Técnicas de negociación y venta para creativos,Un curso de Mònica Rodríguez Limia,"16,99€",436,Gana confianza a través de métodos de venta y negociación que te ayudarán a presentar tus propuestas y comercializar tus productos o servicios con éxito,,,
68,Flores textiles: crea accesorios 3D con denim,Un curso de Svetlana Faulkner,"14,99€",1596,"Aprende a diseñar y confeccionar flores de tela originales desde cero explorando formas, texturas y colores para crear accesorios inspirados en la naturaleza",,,
69,Fotografía intimista de retratos emotivos,Un curso de Matilde Viegas,"14,99€",292,Encuentra tu voz creativa y enriquece tu porfolio aprendiendo a planificar y realizar sesiones fotográficas cautivadoras en un contexto intimista,,,
70,Zentangle y mandalas: dibuja patrones armónicos,Un curso de Dani Hoyos,"14,99€",693,Aprende a crear piezas artísticas mediante la repetición de patrones y consigue despertar tu imaginación y calmar la mente,,,
71,Ilustración expresiva de paisajes urbanos con gouache,Un curso de Mike Thomas,"16,99€",1257,"Aprende a usar el gouache para convertir las formas, los colores y las sombras del mundo que te rodea en piezas artísticas que capten la energía de la escena real",,,
72,Diseño y modelado de personajes estilo cómic en Zbrush,Un curso de Danu Navarro,"14,99€",1039,Aprende a interpretar el diseño de un personaje estilo cómic de 2D a 3D con Zbrush y Keyshot,,,
73,Estrategias de diseño para profesionales de la creatividad,Un curso de Douglas Davis,"16,99€",647,"Descubre la estrategia creativa, explora el aspecto comercial del diseño y utiliza tu creatividad para solucionar retos de marketing",,,
74,Diseño y  confección de peluches,Un curso de EFI Little things,"14,99€",3415,"Aprende a diseñar y fabricar tu propio muñeco de tela paso a paso, desde el patronaje y la costura hasta los detalles finales",,,
75,Branding visual: nuevas estrategias de diseño,Un curso de Classmate Studio,"16,99€",311,Aprende a desarrollar un concepto potente para la identidad visual de una marca mediante la colaboración efectiva con clientes y profesionales creativos,,,
76,Técnicas de hand lettering sobre objetos,Un curso de Nanda Type,"19,99€",194,"Aprende a utilizar el lettering manual para decorar objetos y distintas superficies dándoles un toque artístico, original y brillante",,,
77,Diseño de workshops: potencia la colaboración creativa,Un curso de Grace Ascuasiati,"16,99€",283,"Aprende a planificar, desarrollar y dirigir workshops de diseño estratégico que ayuden a un equipo a trabajar conjuntamente y lograr resultados",,,
78,Diseño de criaturas divertidas con Cinema 4D,Un curso de Eva Cremers,"19,99€",164,"Aprende técnicas de diseño sencillas para modelar, renderizar y animar personajes 3D con personalidad utilizando formas y texturas orgánicas",,,
79,Dibujo anatómico con lápiz de grafito para principiantes,Un curso de Ella Nitters,"14,99€",1238,"Aprende a dibujar los matices de la anatomía humana y animal con lápiz de grafito, desde el boceto hasta detalles de textura, contraste y volumen",,,
80,Desarrollo de aplicaciones multiplataforma con Flutter,Un curso de Jose Manuel Márquez,"16,99€",628,"Aprende a crear aplicaciones móviles, web y de escritorio desde una única base de código y entrega a los usuarios soluciones hechas a medida",,,
81,Minibordado realista de mascotas,Un curso de Carla Ramos,"19,99€",463,Aprende la técnica de pintura con aguja para bordar mascotas y da vida a bisutería exclusiva,,,
82,Hand lettering para composiciones personalizadas y divertidas,Un curso de Scott Biersack,"14,99€",329,"Aprende los fundamentos del hand lettering para crear diseños personalizados y llamativos trabajando el espaciado, la composición y el color",,,
83,Diseño de tatuajes estilo old school en Procreate,Un curso de Fernando Aponte,"14,99€",864,Aprende cómo adaptar tus ilustraciones digitales a las necesidades del cliente y la zona del cuerpo elegida para diseñar tatuajes con estilo tradicional,,,
84,Fotografía de producto: explora la iluminación y el color,Un curso de Amy Currell,"16,99€",182,"Aprende cómo realzar un producto con imágenes impactantes aplicando las bases de la fotografía de bodegón, desde la iluminación y el color hasta la escenografía",,,
85,Pensamiento creativo para publicidad con impacto positivo,Un curso de Paco Conde,"16,99€",258,Descubre cómo usar las herramientas de la publicidad como fuerza transformadora y aprende técnicas para generar ideas que provoquen impacto positivo,,,
86,Sketchbook con gouache para pintar tu entorno,Un curso de Don Kilpatrick III,"16,99€",1345,Utiliza un sketchbook para desarrollar tu estilo artístico explorando la teoría del color y otros principios de pintura y documenta el mundo que te rodea,,,
87,Introducción al nail art,Un curso de Violetta Kurilenko,"14,99€",1322,"Aprende a convertir las uñas en lienzos explorando motivos, degradados y texturas de acuarela con esmalte semipermanente",,,
