Title,Organization,Course_rating,Course_level,Course_certificate,Course_duration,Students_ratings,Web,Course_clases,Course_actual_price,Course_original_price,Course_price,Course_students_enrolled,Course_description
Google Data Analytics,Google,4.8, Beginner , Profesional Certificate , 3-6 Months,"105,4k reseñas",Coursera,,,,,,
Google Project Management:,Google,4.8, Beginner , Professional Certificate , 3-6 Months,77k reseñas,Coursera,,,,,,
Google UX Design,Google,4.8, Beginner , Professional Certificate , 3-6 Months,"59,9k reseñas",Coursera,,,,,,
Google IT Support,Google,4.8, Beginner , Professional Certificate , 3-6 Months,165k reseñas,Coursera,,,,,,
IBM Data Science,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,"107,5k reseñas",Coursera,,,,,,
Google Digital Marketing & E-commerce,Google,4.8, Beginner , Professional Certificate , 3-6 Months,"11,7k reseñas",Coursera,,,,,,
IBM Data Analyst,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,"61,9k reseñas",Coursera,,,,,,
Machine Learning,"DeepLearning.AI, Stanford University",4.9, Beginner , Specialization , 1-3 Months,"8,9k reseñas",Coursera,,,,,,
Introduction to Data Science,IBM Skills Network,4.6, Beginner , Specialization , 3-6 Months,78k reseñas,Coursera,,,,,,
Data Science Fundamentals with Python and SQL,IBM Skills Network,4.5, Beginner , Specialization , 3-6 Months,"53,4k reseñas",Coursera,,,,,,
Key Technologies for Business,IBM Skills Network,4.7, Beginner , Specialization , 1-3 Months,"74,3k reseñas",Coursera,,,,,,
IBM DevOps and Software Engineering,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,37k reseñas,Coursera,,,,,,
IBM Data Engineering,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,41k reseñas,Coursera,,,,,,
IBM Full Stack Software Developer,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,"35,5k reseñas",Coursera,,,,,,
Deep Learning,DeepLearning.AI,4.8, Intermediate , Specialization , 3-6 Months,"138,2k reseñas",Coursera,,,,,,
Data Engineering Foundations,IBM Skills Network,4.6, Beginner , Specialization , 3-6 Months,"40,3k reseñas",Coursera,,,,,,
IBM Cybersecurity Analyst,IBM,4.6, Beginner , Professional Certificate , 3-6 Months,"19,3k reseñas",Coursera,,,,,,
IBM AI Foundations for Business,IBM,4.7, Beginner , Specialization , 1-3 Months,"71,5k reseñas",Coursera,,,,,,
Applied Data Science,IBM Skills Network,4.6, Beginner , Specialization , 3-6 Months,"43,8k reseñas",Coursera,,,,,,
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,4.7, Beginner , Specialization , 3-6 Months,"24,1k reseñas",Coursera,,,,,,
IBM Data Analytics with Excel and R,IBM Skills Network,4.7, Beginner , Professional Certificate , 3-6 Months,"15,3k reseñas",Coursera,,,,,,
Data Analysis and Visualization Foundations,IBM Skills Network,4.7, Beginner , Specialization , 3-6 Months,"14,8k reseñas",Coursera,,,,,,
IT Fundamentals for Cybersecurity,IBM,4.6, Beginner , Specialization , 3-6 Months,"17,6k reseñas",Coursera,,,,,,
IBM Back-End Development,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,"32,4k reseñas",Coursera,,,,,,
Applied Software Engineering Fundamentals,IBM Skills Network,4.6, Beginner , Specialization , 3-6 Months,"31,9k reseñas",Coursera,,,,,,
IBM Applied AI,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,"42,5k reseñas",Coursera,,,,,,
Meta Front-End Developer,Meta,4.7, Beginner , Professional Certificate , 3-6 Months,"7,3k reseñas",Coursera,,,,,,
IBM Data Warehouse Engineer,IBM Skills Network,4.6, Beginner , Professional Certificate , 3-6 Months,"19,3k reseñas",Coursera,,,,,,
Google IT Automation with Python,Google,4.7, Beginner , Professional Certificate , 3-6 Months,"36,5k reseñas",Coursera,,,,,,
Foundations of Project Management,Google,4.9, Beginner , Course , 1-4 Weeks,"59,9k reseñas",Coursera,,,,,,
Mathematics for Machine Learning and Data Science,DeepLearning.AI,4.4, Beginner , Specialization , 1-3 Months,192 reseñas,Coursera,,,,,,
"DevOps, Cloud, and Agile Foundations",IBM Skills Network,4.7, Beginner , Specialization , 3-6 Months,"5,2k reseñas",Coursera,,,,,,
"Foundations: Data, Data, Everywhere",Google,4.8, Beginner , Course , 1-3 Months,"76,1k reseñas",Coursera,,,,,,
IBM IT Support,IBM Skills Network,4.7, Beginner , Professional Certificate , 3-6 Months,"4,3k reseñas",Coursera,,,,,,
Cloud Application Development Foundations,IBM Skills Network,4.6, Beginner , Specialization , 3-6 Months,"4,2k reseñas",Coursera,,,,,,
Python for Everybody,University of Michigan,4.8, Beginner , Specialization , 3-6 Months,"261,5k reseñas",Coursera,,,,,,
Supervised Machine Learning: Regression and Classification,DeepLearning.AI,4.9, Beginner , Course , 1-4 Weeks,"7,7k reseñas",Coursera,,,,,,
Information Technology (IT) and Cloud Fundamentals,IBM Skills Network,4.7, Beginner , Specialization , 3-6 Months,"4,1k reseñas",Coursera,,,,,,
Technical Support Fundamentals,Google,4.8, Beginner , Course , 1-3 Months,134k reseñas,Coursera,,,,,,
"BI Foundations with SQL, ETL and Data Warehousing",IBM Skills Network,4.6, Beginner , Specialization , 3-6 Months,"17,8k reseñas",Coursera,,,,,,
Meta React Native,Meta,4.7, Beginner , Specialization , 3-6 Months,"3,1k reseñas",Coursera,,,,,,
Meta Social Media Marketing,Meta,4.8, Beginner , Professional Certificate , 3-6 Months,"14,7k reseñas",Coursera,,,,,,
Business Foundations,University of Pennsylvania,4.7, Beginner , Specialization , 3-6 Months,"23,2k reseñas",Coursera,,,,,,
Foundations of User Experience (UX) Design,Google,4.8, Beginner , Course , 1-4 Weeks,"49,7k reseñas",Coursera,,,,,,
IBM Applied DevOps Engineering,IBM Skills Network,4.7, Intermediate , Professional Certificate , 3-6 Months,"2,5k reseñas",Coursera,,,,,,
Intuit Academy Bookkeeping,Intuit,4.5, Beginner , Professional Certificate , 3-6 Months,"3,6k reseñas",Coursera,,,,,,
Meta Back-End Developer,Meta,4.7, Beginner , Professional Certificate , 3-6 Months,"3,2k reseñas",Coursera,,,,,,
Natural Language Processing,DeepLearning.AI,4.6, Intermediate , Specialization , 3-6 Months,5k reseñas,Coursera,,,,,,
Meta Android Developer,Meta,4.7, Beginner , Professional Certificate , 3-6 Months,"2,3k reseñas",Coursera,,,,,,
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,4.5, Beginner , Specialization , 3-6 Months,"15,1k reseñas",Coursera,,,,,,
Meta iOS Developer,Meta,4.7, Beginner , Professional Certificate , 3-6 Months,"2,2k reseñas",Coursera,,,,,,
Machine Learning Engineering for Production (MLOps),DeepLearning.AI,4.7, Advanced , Specialization , 3-6 Months,"2,8k reseñas",Coursera,,,,,,
Introduction to Finance and Accounting,University of Pennsylvania,4.6, Beginner , Specialization , 3-6 Months,"12,4k reseñas",Coursera,,,,,,
DeepLearning.AI TensorFlow Developer,DeepLearning.AI,4.7, Intermediate , Professional Certificate , 3-6 Months,"23,2k reseñas",Coursera,,,,,,
Foundations of Digital Marketing and E-commerce,Google,4.8, Beginner , Course , 1-4 Weeks,"8,8k reseñas",Coursera,,,,,,
IBM AI Engineering,IBM Skills Network,4.6, Intermediate , Professional Certificate , 3-6 Months,"15,9k reseñas",Coursera,,,,,,
The Science of Well-Being,Yale University,4.9, Mixed , Course , 1-3 Months,"35,5k reseñas",Coursera,,,,,,
AI For Everyone,DeepLearning.AI,4.8, Beginner , Course , 1-4 Weeks,"37,8k reseñas",Coursera,,,,,,
Ask Questions to Make Data-Driven Decisions,Google,4.7, Beginner , Course , 1-4 Weeks,"22,9k reseñas",Coursera,,,,,,
Business and Financial Modeling,University of Pennsylvania,4.5, Beginner , Specialization , 3-6 Months,"10,2k reseñas",Coursera,,,,,,
Meta Database Engineer,Meta,4.7, Beginner , Professional Certificate , 3-6 Months,"2,2k reseñas",Coursera,,,,,,
Project Initiation: Starting a Successful Project,Google,4.8, Beginner , Course , 1-4 Weeks,"13,7k reseñas",Coursera,,,,,,
Learn SQL Basics for Data Science,"University of California, Davis",4.6, Beginner , Specialization , 3-6 Months,"15,3k reseñas",Coursera,,,,,,
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,4.6, Mixed , Course , 1-3 Months,171 reseñas,Coursera,,,,,,
Excel Skills for Business,Macquarie University,4.9, Beginner , Specialization , 3-6 Months,"56,4k reseñas",Coursera,,,,,,
Indigenous Canada,University of Alberta,4.8, Mixed , Course , 1-3 Months,"20,9k reseñas",Coursera,,,,,,
Business Analytics,University of Pennsylvania,4.6, Beginner , Specialization , 3-6 Months,"17,2k reseñas",Coursera,,,,,,
AI in Healthcare,Stanford University,4.7, Beginner , Specialization , 3-6 Months,1k reseñas,Coursera,,,,,,
Financial Markets,Yale University,4.8, Beginner , Course , 1-3 Months,"24,4k reseñas",Coursera,,,,,,
AI Foundations for Everyone,IBM Skills Network,4.7, Beginner , Specialization , 3-6 Months,"12,6k reseñas",Coursera,,,,,,
Leading the Modern Day Business,University of Virginia,4.7, Beginner , Specialization , 3-6 Months,"18,7k reseñas",Coursera,,,,,,
Improve Your English Communication Skills,Georgia Institute of Technology,4.7, Beginner , Specialization , 3-6 Months,"24,9k reseñas",Coursera,,,,,,
Advanced Learning Algorithms,DeepLearning.AI,4.9, Beginner , Course , 1-4 Weeks,"1,8k reseñas",Coursera,,,,,,
Security Analyst Fundamentals,IBM,4.7, Beginner , Specialization , 3-6 Months,"3,1k reseñas",Coursera,,,,,,
Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,4.4, Beginner , Course , 1-4 Weeks,162 reseñas,Coursera,,,,,,
Graphic Design,California Institute of the Arts,4.7, Beginner , Specialization , 3-6 Months,19k reseñas,Coursera,,,,,,
The Bits and Bytes of Computer Networking,Google,4.7, Beginner , Course , 1-3 Months,"42,8k reseñas",Coursera,,,,,,
The Materiality of ESG Factors,University of Pennsylvania,4.7, Beginner , Specialization , 3-6 Months,593 reseñas,Coursera,,,,,,
Digital Product Management,University of Virginia,4.7, Beginner , Specialization , 3-6 Months,"8,7k reseñas",Coursera,,,,,,
Prepare Data for Exploration,Google,4.8, Beginner , Course , 1-3 Months,"13,6k reseñas",Coursera,,,,,,
SAP Technology Consultant,SAP,4.8, Beginner , Professional Certificate , 3-6 Months,107 reseñas,Coursera,,,,,,
"Start the UX Design Process: Empathize, Define, and Ideate",Google,4.8, Beginner , Course , 1-4 Weeks,"10,9k reseñas",Coursera,,,,,,
AWS Cloud Solutions Architect,Amazon Web Services,4.8, Beginner , Professional Certificate , 3-6 Months,"3,5k reseñas",Coursera,,,,,,
AWS Fundamentals,Amazon Web Services,4.6, Beginner , Specialization , 3-6 Months,"7,9k reseñas",Coursera,,,,,,
Análisis de Datos de Google,Google,4.8, Beginner , Professional Certificate , 3-6 Months,"3,4k reseñas",Coursera,,,,,,
Introduction to Programming with Python and Java,University of Pennsylvania,4.4, Beginner , Specialization , 3-6 Months,"1,2k reseñas",Coursera,,,,,,
Foundations of Positive Psychology,University of Pennsylvania,4.8, Beginner , Specialization , 3-6 Months,7k reseñas,Coursera,,,,,,
The Science of Well-Being for Teens,Yale University,4.8, Beginner , Course , 1-3 Months,38 reseñas,Coursera,,,,,,
Scrum Master Certification,LearnQuest,4.7, Beginner , Specialization , 3-6 Months,"1,9k reseñas",Coursera,,,,,,
Neural Networks and Deep Learning,DeepLearning.AI,4.9, Intermediate , Course , 1-4 Weeks,"117,7k reseñas",Coursera,,,,,,
Search Engine Optimization (SEO),"University of California, Davis",4.6, Beginner , Specialization , 3-6 Months,"11,5k reseñas",Coursera,,,,,,
Data Science,Johns Hopkins University,4.5, Beginner , Specialization , 3-6 Months,"49,9k reseñas",Coursera,,,,,,
DevOps on AWS,Amazon Web Services,4.7, Intermediate , Specialization , 1-3 Months,"3,4k reseñas",Coursera,,,,,,
Introduction to Psychology,Yale University,4.9, Beginner , Course , 1-3 Months,"25,5k reseñas",Coursera,,,,,,
Writing in the Sciences,Stanford University,4.9, Beginner , Course , 1-3 Months,"7,5k reseñas",Coursera,,,,,,
Genomic Data Science,Johns Hopkins University,4.5, Intermediate , Specialization , 3-6 Months,"5,8k reseñas",Coursera,,,,,,
