Title,Organization,Price,Info
"Revit Arquitectura / Curso Avanzado / 2023
De la metodología CAD a la metodología BIM.",Lou Pedraza,"Precio actual
14,99 €
Precio original
84,99 €",11 horas en total59 clasesExperto
"Curso de Autodesk Inventor 2021
¿Te gustaría ser más productivo y desarrollar proyectos de la industria Mecánica, Industrial y de Manufactura?",Juan Jose Ramos,"Precio actual
14,99 €
Precio original
19,99 €","6,5 horas en total48 clasesTodos los niveles"
"Principios de diseño para láminas de presentación
Da tus primeros pasos y aprende a cómo diagramar láminas para tu presentación",Daniel Sánchez,"Precio actual
14,99 €
Precio original
19,99 €",5 horas en total58 clasesPrincipiante
"Curso HTML5 principiante desde cero (0)
De la tierra a la Luna! Hacemos nuestro primer viaje en el mundo de HTML!",Arcux Educacion,"Precio actual
14,99 €
Precio original
19,99 €",1 hora en total10 clasesTodos los niveles
"Fundamentos de UX/ UI para Principiantes
Maneja desde conocimientos básicos hasta el desarrollo y aplicación de diseño Interfaces de Usuario UX/UI",Luis David Garcia Luis,"Precio actual
14,99 €
Precio original
89,99 €","3,5 horas en total18 clasesTodos los niveles"
"Curso de creación de imágenes con IA
Descubre el poder de la IA para diseñar imágenes sorprendentes y realistas",Shodyamsu Gisah,"Precio actual
14,99 €
Precio original
69,99 €",1 hora en total16 clasesTodos los niveles
"FreeCAD en un día
Aprende diseño 3D profesional con FreeCAD, software libre y gratuito.",Alexis Ariel Puljiz,"Precio actual
14,99 €
Precio original
49,99 €",3 horas en total15 clasesIntermedio
"Diseño de láminas de presentación arquitectónica
prende a presentar tus proyectos arquitectónicos de forma didáctica y atractiva",Jose David Contreras Bueno,"Precio actual
14,99 €
Precio original
19,99 €","4,5 horas en total62 clasesIntermedio"
"Aprende a ser Designer con la inteligencia artificial
Únete a nosotros y descubre cómo puedes llevar tus habilidades al siguiente nivel.",Lenin Carrillo,"Precio actual
14,99 €
Precio original
49,99 €",1 hora en total5 clasesTodos los niveles
"El viaje del diseñador: Curso teórico de videojuegos
Aprende sobre el noble arte de diseñar videojuegos",Andreas Lang,"Precio actual
14,99 €
Precio original
94,99 €","25,5 horas en total171 clasesTodos los niveles"
"Cinema 4D Se un Padawan en ESPAÑOL
Cinema 4D para todos los Niveles y especializaciones en Animación, Riggin, Textura, y MÁS",Libel Academy,"Precio actual
14,99 €
Precio original
84,99 €",25 horas en total219 clasesTodos los niveles
"Escenas exteriores con Sketchup y V-Ray
Aprende a crear impresionantes escenas exteriores como un profesional",Monica Torrero,"Precio actual
14,99 €
Precio original
19,99 €",6 horas en total31 clasesPrincipiante
"Modelado de Edificaciones con Archicad
Modela, diseña, construye, publica y presenta todo tipo de edificación en un entorno BIM",Ruth Cepero,"Precio actual
14,99 €
Precio original
59,99 €",16 horas en total74 clasesPrincipiante
"Aprender mandala de puntos: Clase magistral de pintura de pu
Desglose de todas las herramientas y técnicas con algunos hermosos proyectos de patrones artísticos",Marlon Ceballos,"Precio actual
14,99 €
Precio original
94,99 €","4,5 horas en total29 clasesPrincipiante"
"Martillo Pirata en Blender 2.83 y ZBrush 2020
Complementado con Marmoset 2019","Miguel Angel Soto, SDQ Training Center","Precio actual
14,99 €
Precio original
19,99 €",15 horas en total14 clasesPrincipiante
"Arco Orgánico de Globos - Nivel Principiante
Aprende desde el inicio como realizar un arco orgánico con globos rápido y fácil!","Joel Combes, SDQ Training Center","Precio actual
14,99 €
Precio original
39,99 €",30 minutos en total8 clasesPrincipiante
"Guía Esencial de SketchUp Pro
¡Modela, gestiona, visualiza, documenta, presenta un proyecto con lo mejor que tiene SketchUp Pro!",Daniel Nuñez,"Precio actual
14,99 €
Precio original
49,99 €",15 horas en total173 clasesTodos los niveles
"Autodesk Inventor: Basico e Intermedio 2023 (cero a experto)
Con los conocimientos aprendidos podras llevar a cabo cualquier diseño, modelado 3D, ensamble, planos y herramientas CAD",Valentyn-Vladyslav Kotsarenko,"Precio actual
14,99 €
Precio original
94,99 €","9,5 horas en total11 clasesTodos los niveles"
"Arquitectura virtual interactiva con Unreal Engine 5
Aprende a usar la herramienta más potente para renderizado en tiempo real.",Astrid Diaz,"Precio actual
14,99 €
Precio original
94,99 €",16 horas en total94 clasesExperto
"Aprende Photoshop de 0 a Intermedio
Potencia tus habilidades de diseño y edición con esta poderosa herramienta, clave para potenciar redes comunicacionales.",Santiago Martinez Martinez,"Precio actual
14,99 €
Precio original
94,99 €",3 horas en total13 clasesTodos los niveles
"Adobe Photoshop CC 2023 Introducción para principiantes
Aprende a editar | dibujar | diseñar | componer fotos con el editor de fotos","Marcelo Concha, Kevin Valenzuela","Precio actual
14,99 €
Precio original
94,99 €",4 horas en total32 clasesPrincipiante
"Blender: Modelado, Texturizado y Render de Barril estilizado
Aprende el flujo de trabajo completo, desde modelado hasta el render final en la creación de objetos estilizados.",Andreas Lang,"Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total6 clasesPrincipiante"
"Tekla Stuctures 2021, Diseño en concreto armado
TEKLA STRUCTURES",Vasily Baglaenko,"Precio actual
14,99 €
Precio original
84,99 €",2 horas en total15 clasesTodos los niveles
"Planos a color con Adobe Photoshop
¡Dale color a tus planos en pocos minutos con Photoshop!",Angel Matos,"Precio actual
199,99 €","1,5 horas en total19 clasesPrincipiante"
"Fundamentos Houdini SideFX en Español
Fundamentos básicos del programa Houdini SideFX completamente en Español",Arcux Educacion,"Precio actual
14,99 €
Precio original
54,99 €","4,5 horas en total58 clasesPrincipiante"
"Técnicas de ilustración, lápiz de color, marcadores, gouache
3 técnicas en un solo curso!",Emmanuel Alejandro Garcia,"Precio actual
14,99 €
Precio original
94,99 €",3 horas en total20 clasesPrincipiante
"Anime Hardsurface en ZBrush 2019
ZBrush intermedio y hardsurface",Begoña Salas,"Precio actual
14,99 €
Precio original
19,99 €",25 horas en total74 clasesIntermedio
"Animación 3d de Personajes con 3ds Max y Character Studio
Animación 3d de Personajes con Autodesk 3ds Max y Character Studio (Biped) para Videojuegos, Animación, Publicidad, etc",Libel Academy,"Precio actual
14,99 €
Precio original
94,99 €","15,5 horas en total154 clasesExperto"
"Onshape Course
Learn Onshape in an easy and practical way.",Rubén Alvarez,"Precio actual
14,99 €
Precio original
19,99 €",7 horas en total115 clasesIntermedio
"Elabora un proyecto de interiorismo residencial desde cero.
Además te brindaremos plantillas de propuestas, portafolio y una lista de más de 30 proveedores en Perú.",Paulo Villarreal,"Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total12 clasesPrincipiante"
"3ds Max: Configuración, primeros pasos y modificadores
¡Modelado 3d desde cero!",Gisella Diaz,"Precio actual
14,99 €
Precio original
19,99 €",31 minutos en total14 clasesPrincipiante
"Curso de Iniciación al Diseño de Vestuario Audiovisual
Como construir un personaje a partir del vestuario",Paulina Parra,"Precio actual
14,99 €
Precio original
49,99 €",2 horas en total7 clasesPrincipiante
"Creación de personajes en Maya - The Bear
Maya para principiantes",Josefina Vecchietti,"Precio actual
14,99 €
Precio original
94,99 €","23,5 horas en total29 clasesPrincipiante"
"Rigging de personajes en Maya - Ratón
Rigging de personajes para animación con rigging facil avanzado",Ruth Cepero,"Precio actual
14,99 €
Precio original
94,99 €","10,5 horas en total14 clasesIntermedio"
"Personajes en Blender - Gato Japones
Complementado con Substance Painter",Marlon Ceballos,"Precio actual
14,99 €
Precio original
19,99 €",33 horas en total17 clasesPrincipiante
"Aprende a usar ENSCAPE en Revit
Aprovecha todo el potencial de este poderoso motor de render integrado con Revit para tus presentaciones de proyectos","Miguel Angel Soto, SDQ Training Center","Precio actual
19,99 €",42 minutos en total7 clasesExperto
"Curso de Canva para escritores
Nuevo curso Básico de Canva","Joel Combes, SDQ Training Center","Precio actual
14,99 €
Precio original
29,99 €","1,5 horas en total9 clasesTodos los niveles"
"DIALux EVO: Curso completo de DIALux EVO paso a paso (V11)
Curso completo del programa DIALux EVO paso a paso (Versión 11) Solicita un 50% de descuento --> Mira en la descripción",Daniel Nuñez,"Precio actual
14,99 €
Precio original
49,99 €",3 horas en total9 clasesTodos los niveles
"Diseño gráfico para principiantes
Conoce los secretos de los diseñadores profesionales para crear piezas gráficas sin la necesidad de usar canva",Libel Academy,"Precio actual
14,99 €
Precio original
94,99 €","1,5 horas en total22 clasesTodos los niveles"
"Rigging en MAYA para principiantes - Zombie
Introducción al rigging",Libel Academy,"Precio actual
14,99 €
Precio original
94,99 €",8 horas en total12 clasesPrincipiante
"Personajes en Blender - The Fisher
Aprende Blender desde cero",Libel Academy,"Precio actual
14,99 €
Precio original
94,99 €","19,5 horas en total29 clasesPrincipiante"
"Rigging de personajes en Maya - The Bear
Rigging para videojuegos llevado a Unreal Engine 5",Noel José Rojas Cabello,"Precio actual
14,99 €
Precio original
94,99 €",10 horas en total13 clasesPrincipiante
"Emprende tu negocio de Impresión 3D, SolidWorks, Canva
¡Aprende Modelado y Diseño 3D con productos reales, fabricación, plantillas y todo para empezar!",Alex Rojas,"Precio actual
14,99 €
Precio original
49,99 €",4 horas en total23 clasesTodos los niveles
"Curso The Foundry Nuke en ESPAÑOL - VFX Compositing
Basic Training Curso de composicion digital de video - Nuke101",Svetoslav Tihomirov,"Precio actual
14,99 €
Precio original
39,99 €",12 horas en total30 clasesPrincipiante
"Blender para principiantes - Nomo
Creación de personajes para publicidad",Johnny Mora,"Precio actual
14,99 €
Precio original
94,99 €",5 horas en total6 clasesPrincipiante
"Introducción al Modelado 3D con Blender
Aprende las bases del modelado 3D, creando 3 llamativos escenarios 3D con Blender",Libel Academy,"Precio actual
14,99 €
Precio original
49,99 €","33,5 horas en total264 clasesPrincipiante"
"Substance Painter para Principiantes - The Bear
Texturas en Substance Painter",Libel Academy,"Precio actual
14,99 €
Precio original
19,99 €",5 horas en total8 clasesPrincipiante
"Experto DecoACCIÓN Home Staging
Experto en Decoración y Home Staging",Libel Academy,"Precio actual
39,99 €","13,5 horas en total129 clasesExperto"
"SolidWorks Motion- Crea animacione en SolidWorks
Anima tus proyectos en SolidWorks Motion",Ivan Andres Burgos Castro,"Precio actual
14,99 €
Precio original
19,99 €","5,5 horas en total28 clasesIntermedio"
"Ilustrando con Adobe Illustrator
Aprende a usar Adobe Illustrator para Ilustración vectorial",Fabrizio Vera,"Precio actual
14,99 €
Precio original
19,99 €","3,5 horas en total31 clasesIntermedio"
"Personajes en Blender - Elfa Hardsurface
Aprende escultura y hardsurface en Blender",Libel Academy,"Precio actual
14,99 €
Precio original
39,99 €","32,5 horas en total16 clasesIntermedio"
"Blender, Introducción a la creación de personajes 3D
Aprende con Blender el flujo de trabajo de creación de personajes para animación 3D o videojuegos.",Cisco Raya,"Precio actual
14,99 €
Precio original
39,99 €","8,5 horas en total43 clasesPrincipiante"
"Blender, Introducción al 3D
Aprende Blender desde cero. Desde el modelado hasta el render final.",Libel Academy,"Precio actual
14,99 €
Precio original
19,99 €","14,5 horas en total102 clasesPrincipiante"
"Iluminación en Maya con Arnold
Luces, Filtros, Passes de Render y Composición en Nuke","Sandra Rubio, Joana Aranda","Precio actual
54,99 €","1,5 horas en total18 clasesPrincipiante"
