Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Hacking ético para dummies: conceptos previos
Entiende y entra en el mundo del Hacking ético, con todos los conceptos más básicos, desde el principio.",Lord Astra,"1,5 horas en total",24 ,Principiante,"14,99 €","19,99 €"
"Manejo de formato de archivo Geopackage para GIS
El nuevo formato estable para compartir y trabajar con geodatos",Ramiro Jesus Scherer,39 minutos en total,6 ,Principiante,"19,99 €",
"Domina los SIG con ARCGIS (Nivel Intermedio)
Realiza Analisis Espaciales de calidad a partir de tus datos, Estructura Geodatabase, Modela tus Datos en 3D y mucho Más",Manuel Morales,"11,5 horas en total",88 ,Intermedio,"14,99 €","29,99 €"
"Exámenes Google Associate Cloud Engineer 2023 | Español
Obtenga la certificación Google Cloud Associate Cloud Engineer con estos completos exámenes de prueba.",Cristina Trinidad,1 hora en total,18 ,Principiante,"14,99 €","19,99 €"
"Google Looker Studio desde Cero
Looker Studio desde cero a experto",Andres Felipe Gallego Muñoz,"1,5 horas en total",14 ,Principiante,"14,99 €","19,99 €"
"Professional VMware vSphere 7.x Exam VCP-DCV 2023
Examen profesional de vSphere 7.x VCP-DCV 2023 (código de examen 2V0-21.20) - ACTUALIZACIÓN DE ENERO DE 2023",Ingeniero TEC,1 hora en total,25 ,Intermedio,"14,99 €","19,99 €"
"Curso de Automation Testing Mobile con Katalon Studio
Comenzá a automatizar pruebas móviles con Katalon Studio desde cero. No se necesitan conocimientos previos.",Matías Panusopulos • +25.000 estudiantes,"4,5 horas en total",65 ,Todos los niveles,"14,99 €","34,99 €"
"Certificacion ITIL 4 Foundation 2023: 8 EXAMENES
Simulador 2023: Certificación satisfactoria en menos de 7 días!",Dominik Hoppe,3 horas en total,22 ,Todos los niveles,"14,99 €","24,99 €"
"240 preguntas de simulación de examen ISTQB Foundation Level
240 preguntas con respuestas y justificaciones, para prepararse rumbo a la certificación en pruebas ISTQB fundamentos.",Alejandro Reyes,"3,5 horas en total",50 ,Principiante,"14,99 €","19,99 €"
"Exam AZ-305 - Designing Azure Infrastructure Solutions 2023
Examen AZ-305 - Designing Azure Infrastructure Solutions - Preguntas del examen",Ingeniero TEC,2 horas en total,46 ,Principiante,"14,99 €","29,99 €"
"HPE0-V14 Building HPE Hybrid IT Solutions
HPE0-V14 Building HPE Hybrid IT Solutions Practice Tests",Ingeniero TEC,12 horas en total,5 ,Intermedio,"14,99 €","29,99 €"
"Modelado de amenazas con STRIDE y Microsoft Modeling Tool
Adquiere conocimientos valiosos en Modelado de Amenazas de Ciberseguridad, con las herramientas mas usadas en esta área",Jorge Andrey Poblador Lizarazo,"1,5 horas en total",10 ,Principiante,"14,99 €","19,99 €"
"Hacking ético: Doxing,Redes sociales ,Redes wifi.
Aprende todo sobre el hacking ético desde cero !!",Rodrigo soto,2 horas en total,18 ,Principiante,"14,99 €","94,99 €"
"Protégete y Detecta el Phishing. La principal vulnerabilidad
La mayor Vulnerabilidad de las Personas y Empresas es el Phishing, y la única forma de protegerse es la capacitación",Alvaro Chirou • 1.300.000+ Enrollments Worldwide,"4,5 horas en total",39 ,Experto,"14,99 €","94,99 €"
"Introducción a las Pruebas de Usabilidad, UX y Accesibilidad
usabilidad, ux, accesibilidad",Lisandra Armas Águila,1 hora en total,19 ,Principiante,"14,99 €","44,99 €"
"2023 Gestión Ágil de Proyectos con Scrum: Curso AGILE
2023 Gestión Ágil de Proyectos con Scrum: curso para aprender cómo gestionar proyectos utilizando principios de Scrum",Master Class,2 horas en total,27 ,Principiante,"14,99 €","19,99 €"
"Scrum Master para Certificación
Scrum Master para Certificación",JMG Virtual Consulting S.L,"11,5 horas en total",40 ,Experto,"15,99 €","19,99 €"
"Certifícate como SCRUM Master (PSM 1, CSM, SMPC)
Banco de 300 preguntas sobre SCRUM - 6 test",German Hernandez,"2,5 horas en total",13 ,Intermedio,"14,99 €","94,99 €"
"Conviértete en un Experto en Creación de Metaversos
Crea Experiencias Virtuales Únicas y Personalizada,Importación de Figuras 3D, Compartir Pantalla y Galerías de Arte",Manuel Mazán,"33,5 horas en total",393 ,Todos los niveles,"15,99 €","19,99 €"
"cmd para principiantes
Conviertete en un experto en el uso de la linea de comandos de Windows",Manuel Sepulveda,"10,5 horas en total",120 ,Intermedio,"15,99 €","19,99 €"
"Ansible: De cero a usuario experto
Incluye Ansible Galaxy, la creación de módulos propietarios con Python y el despliegue infraestructura en la nube de AWS",Proyecto Oforte Cursos de calidad sobre Tecnología.,"12,5 horas en total",31 ,Intermedio,"99,99 €","129,99 €"
"A4Q Selenium Tester Foundation - Examen de práctica
Exámenes de apoyo para la certificación",Edgar Herrera Casas,1 hora en total,8 ,Todos los niveles,"14,99 €","69,99 €"
"Implementación de servidores Apache en Ubuntu Server
Aprende a instalar, configurar y administrar servidores web con Apache en Ubuntu Server",Pablo Zubiri,4 horas en total,11 ,Intermedio,"14,99 €","19,99 €"
"NUEVO! 4 CISA Test Examen 2023 SPANISH (ISACA)
4 x 150 Pruebas prácticas de examen 600 preguntas - CISA (ISACA) - Preguntas de 5 dominios",Agnaldo Pereira,1 hora en total,8 ,Principiante,"14,99 €","19,99 €"
"Introducción a Prolaborate
¡Conoce los aspectos esenciales de Prolaborate para colaborar en los modelos de Enterprise Architect de Sparx Systems!",Agustin Zappone,"1,5 horas en total",20 ,Principiante,"14,99 €","19,99 €"
"[2023] CSA Cloud Security Knowledge (CCSK): Simulador
Entrénate con preguntas teóricas y práctica de Seguridad en la nube.",Ready2Pass Academy,2 horas en total,24 ,Principiante,"14,99 €","79,99 €"
"Game developer Tower Defense Game en Unity: Basico a Experto
Tu momento ha llegado El mejor curso para aprender a desarollar videojuegos y programar en C Sharp",Raymundo Martínez,"8,5 horas en total",59 ,Principiante,"14,99 €","19,99 €"
"Recopilación de información con Python
Aprende a recopilar información de un objetivo empleando Python",Juan Carlos Guzmán Contreras,1 hora en total,18 ,Principiante,"14,99 €","49,99 €"
"Exámenes | AWS Certified Solutions Architect Associate | ES
6 exámenes de práctica para la certificación AWS Certified Solutions Architect - Associate",CYB Training,"13,5 horas en total",95 ,Principiante,"14,99 €","19,99 €"
"Curso de AWS Certified Solutions Architect Associate SAA-C03
Prepárate para el examen de AWS Solutions Architect Associate SAA-C03 en Español | Examen de práctica completo incluido",Sparx Argentina - proagile s.a.,6 horas en total,58 ,Todos los niveles,"14,99 €","19,99 €"
"Curso: Playwright con Javascript en Español
Aprende Automatización de Pruebas con Playwright con Javascritp nivel Basico- Intermedio",Pedro Oncoy,"8,5 horas en total",38 ,Todos los niveles,"14,99 €","19,99 €"
"Reparacion de Notebook a nivel electronico
Reparacion,placa,notebook,corto,tecnicoCalificación: 4,7 de 5",Braulio Castillo,"2,5 horas en total",44 ,Intermedio,"14,99 €","19,99 €"
"Appian BPM Basics
Aprende Appian fácil y sencillo con ejemplos prácticos",Santiago de Diego,44 minutos en total,11 ,Todos los niveles,"14,99 €","29,99 €"
"GCP Professional Architect.- Final Updated Practice Exams
Theory and case of use practice exams",Héctor Uriel Pérez,40 minutos en total,12 ,Principiante,"14,99 €","29,99 €"
"Simulador Certificación ISO 27001 Español / Inglés
ISO 27001 / ISO27001 EN Sample test","Joan Amengual | AWS Certified & Senior Blockchain Professional, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","5,5 horas en total",44 ,Todos los niveles,"79,99 €","94,99 €"
"Como adaptar la plantilla AdminLTE 2 y 3 con php y MVC
Aprende a como adaptar la plantilla AdminLTE en su versión 2 y 3, utilizando php8 y POO, PDO y MVC.",Rodrigo Villanueva Nieto,"3,5 horas en total",40 ,Principiante,"14,99 €","19,99 €"
"Seguridad Informática
Cuestiones básicas y recursos prácticos",Hernan Gerardo Delicio,"11,5 horas en total",30 ,Intermedio,"14,99 €","79,99 €"
"Introduccion a la virtualizacion con VMware vSphere
Aprende a crear y administrar un entorno virtualizado con VMware vSphere",JMG Virtual Consulting S.L,8 horas en total,73 ,Principiante,"15,99 €","19,99 €"
"Aprende Power BI con un caso Práctico
carga de datos, visualizaciones, reporte de power BI",German Hernandez,"8,5 horas en total",32 ,Principiante,"14,99 €","94,99 €"
"Terraform: De principiante a certificado 2023
Aprenda de forma practica a dominar esta gran herramienta y preparese para rendir la certificacion oficial de Terraform.",Manuel Mazán,32 minutos en total,14 ,Todos los niveles,"15,99 €","19,99 €"
"Microsoft SC-200: Más de 160 preguntas 2023
Curso preparación examen SC-200: Microsoft Security Operations Analyst en español.",Manuel Sepulveda,7 horas en total,67 ,Intermedio,"15,99 €","19,99 €"
"Aprende a liderar la transformación digital con el PETI
Aprende a liderar la transformación digital en tu empresa con el Plan Estratégico de TI",Proyecto Oforte Cursos de calidad sobre Tecnología.,"3,5 horas en total",35 ,Todos los niveles,"99,99 €","129,99 €"
"Domina los SIG con QGIS (Nivel Básico)
Genera mapas de calidad a partir de tus datos, representa, muestra y comparte de forma fácil y rápida tu información.",Martin Camacho,12 horas en total,94 ,Principiante,"14,99 €","44,99 €"
"MS 900 Microsoft 365 Fundamentals Español Actualizado 2023.
Certificación MS-900 Microsoft Fundamentals - Incluye libros oficiales, Labs y material de simulación, actualizado 2023.",Ivan Proiectus,1 hora en total,9 ,Principiante,"14,99 €","19,99 €"
"SQL Server: Transact-SQL de Básico-Avanzado - Full Práctica
Aprende el Lenguaje Transact-SQL de manera práctica, utilizando las sentencias más usadas en el ámbito profesional.",Andrés Torres,2 horas en total,19 ,Principiante,"14,99 €","19,99 €"
"Facturacíón electrónica con Odoo
Aprende a implementar la facturación electrónica en negocios o empresas - Localización Perú",Luis Fernando Ramos,"2,5 horas en total",33 ,Todos los niveles,"14,99 €","19,99 €"
"Curso De Recuperación De Información Discos DVR 2023
Cómo Abrir Archivos .swf Discos DVR",Antonio Gatell Contreras,2 horas en total,19 ,Principiante,"14,99 €","19,99 €"
"Introducción a la Impresión 3D: Del Diseño a la Realidad
Impresión 3D",Jose Manuel Ramirez,10 horas en total,21 ,Intermedio,"14,99 €","19,99 €"
"SC900 Fundamentos de seguridad,cumplimiento e identidad 2023
Certificación SC-900 Fundamentals - Incluye libros oficiales, Labs y material de simulación, actualizado.",Duver Mesa,8 horas en total,81 ,Intermedio,"14,99 €","19,99 €"
"WhatsApp Api con NodeJS Envío y Recepción de Mensajes
WhatsApp Api con NodeJS Envío y Recepción de Mensajes, Creación de un Chat BOT, Integración con CHATGPT",Eduardo Nazareno Anselmi,"5,5 horas en total",24 ,Principiante,"79,99 €","94,99 €"
"Programación de microcontroladores dsPIC33F Family-Parte II
Aprende a programar 2 tipos de uC de la Familia 33FJ (DSPIC33FJ32MC204 y DSPIC33FJ128MC804) simulado en Proteus y Real.",Energy Admin,"5,5 horas en total",52 ,Intermedio,"14,99 €","19,99 €"
"Raspberrypi Desde Cero
Aprende a programar la RaspberryPi y desarrolla scripts en Python para pasar tus proyectos maker al siguiente nivel",Master Class,"7,5 horas en total",62 ,Todos los niveles,"14,99 €","19,99 €"
"Curso profesional Altium Design desde 0 para ingenieros
Paso a paso, desde los esquemáticos, pasando por las PCB y terminando con la fabricación",Manuel Morales,"2,5 horas en total",5 ,Experto,"14,99 €","19,99 €"
"6 exámenes de práctica | AWS Solutions Architect Associate
Prepárate para tu examen SAA-C03. ¡390 preguntas de exámenes de práctica en español con explicaciones detalladas!",Ramiro Calderon Marin,33 minutos en total,9 ,Intermedio,"14,99 €","19,99 €"
"exámenes de práctica de AWS Certified Cloud Practitioner
Colección de exámenes de práctica de AWS Certified Cloud Practitioner (300 preguntas por 5 veces)",Roberto Enrique Yanayaco Pintado,3 horas en total,5 ,Principiante,"14,99 €","24,99 €"
"Appian BPM: Syncronized Backed-Records
Service and DB Backed Records",Bigodoo Consultores,4 horas en total,49 ,Principiante,"14,99 €","29,99 €"
"CompTIA A+ 220-1101 Simulación de examen de práctica 540 Q&A
Estamos actualizando el curso y siempre incluiremos nuevas pruebas de A+ 220-1101",Danid Vallejos,4 horas en total,54 ,Intermedio,"14,99 €","29,99 €"
"Domina los SIG con ARCGIS PRO (Nivel Intermedio)
Realiza Gepprocesmientos, Analisis Espaciales de calidad a partir de tus datos, Estructura Geodatabases y mucho Más",Steven Rivera,3 horas en total,6 ,Principiante,"14,99 €","19,99 €"
"Master en Wireshark (De principiante a avanzado)
Aprende todo acerca de sniffing, monitoreo de red y hacking",Ramiro Calderon Marin,6 horas en total,54 ,Experto,"14,99 €","19,99 €"
"Exam MS-900: Microsoft 365 Fundamentals
Examen de Microsoft MS-900",Davis Anderson Bastidas Vicente,"6,5 horas en total",36 ,Intermedio,"14,99 €","19,99 €"
"Domina los SIG con ARCGIS PRO (Nivel Básico)
Genera mapas de calidad a partir de tus datos, representa, muestra y comparte de forma facil y rapida tu información.",Jhon Ore Sulca,"1,5 horas en total",18 ,Principiante,"14,99 €","94,99 €"
"Mantenimiento y Soporte Técnico de Chromebooks
Aprende sobre configuración, solución de problemas y mantenimiento",Andres Nino,"3,5 horas en total",21 ,Principiante,"14,99 €","69,99 €"
"CAPM® 2023 SIMULATOR TEST
CAPM simulators",CoolTechnologies.es España,"10,5 horas en total",38 ,Todos los niveles,"14,99 €","19,99 €"
"Aprende ChatGPT desde cero
Domina la Inteligencia Artificial del momento","Joan Amengual | AWS Certified & Senior Blockchain Professional, Abhishek Singh | 9x AWS, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","15,5 horas en total",95 ,Intermedio,"14,99 €","94,99 €"
"ESPAÑOL -Curso Huawei HCIA Routing & Switching INTERMEDIATE
HCIA R&S - INTERMEDIATE",Cloud Pioneer,"2,5 horas en total",15 ,Principiante,"14,99 €","19,99 €"
"Preguntas Microsoft Azure Fundamentals AZ-900 - 2023
Actualizado Febrero 2023. Obtiene la certificación de Microsoft Azure Fundamentals AZ-900",Martin Camacho,"12,5 horas en total",73 ,Experto,"14,99 €","44,99 €"
"Domina los SIG con QGIS (Nivel Intermedio)
Realiza Analisis Espaciales de calidad a partir de tus datos, Estructura Bases de Datos, Modela en 3D y mucho Más",Andrea Bellini,"7,5 horas en total",31 ,Principiante,"14,99 €","24,99 €"
"Scrum Master Professional Certificate (SMPC) Examen Oficial
Un simulador para validar el conocimiento de Scrum y lograr aprobar el examen de conocimientos.",Manuel Morales,"11,5 horas en total",107 ,Intermedio,"14,99 €","29,99 €"
"Curso de Criptografía: Teoríco y Práctico (con Laboratorios)
Aprende qué es el cifrado, hash, firmas digitales, certificados digitales y protocolos seguros.",Fernando Conislla Murguia,"12,5 horas en total",39 ,Intermedio,"14,99 €","49,99 €"
"Preparate para aprobar ISTQB Foundation Level
Todo lo que necesitas saber para aprobar el examen",Alma Ortiz,"4,5 horas en total",40 ,Principiante,"14,99 €","24,99 €"
"Desarrollo WEB Moderno con HTML y CSS
Desarrollo WEB Moderno con HTML y CSS para principiantes.",Manuel Morales,"4,5 horas en total",34 ,Todos los niveles,"14,99 €","19,99 €"
"Taller Smart Lighting 2
Con DMX",Beny Blanco,5 horas en total,50 ,Intermedio,"14,99 €","84,99 €"
"Preguntas Microsoft Azure AI Fundamentals AI-900 - 2023
Actualizado Febrero 2023. Obtiene la certificación de Microsoft Azure AI Fundamentals AI-900",Guillermo García Velarde,3 horas en total,7 ,Intermedio,"14,99 €","19,99 €"
"Nuevo! 4 CISM Tests Examen 2023 SPANISH (ISACA)
4 x 150 Test de prácticas de examen: 600 preguntas - CISM (ISACA) - 4 dominios de preguntas",Edumar Group,"3,5 horas en total",5 ,Intermedio,"14,99 €","19,99 €"
"Exámenes de práctica | MS PL-300: Analista de datos Power BI
Prepárese para la certificación Microsoft PL-300: Analista de datos Power BI | Power BI Data Analyst",Pato Giovannini,3 horas en total,5 ,Intermedio,"14,99 €","19,99 €"
"Curso de armado para drone Freestyle de 5”
Armado de Drones",Edumar Group,4 horas en total,5 ,Principiante,"14,99 €","19,99 €"
"Fundamentos de Base de Datos
Fundamentos de Base de Datos",José Manuel Izquierdo Hernández,28 horas en total,28 ,Intermedio,"14,99 €","94,99 €"
"Fundamentos de Redes: Aprende las bases del Networking
Descubre cómo funciona la tecnología detrás de las redes de datos y el Networking desde lo más básico.",Cinco Minutos Faciles,9 horas en total,17 ,Principiante,"14,99 €","19,99 €"
"ETL Data Testing: Todo lo que necesitás saber
ETL y Data Testing, con la ayuda de Python",Manuel Morales,"3,5 horas en total",5 ,Principiante,"14,99 €","29,99 €"
"Automatización web con Wolfram Language - Mathematica 13.2
Automatización de tareas mediante el navegador web",Digital Academy TEC,"12,5 horas en total",5 ,Intermedio,"14,99 €","19,99 €"
"Exámenes de práctica MS 500-Practice Tests actualizado 2023
Exámenes de práctica para la prueba MS-500: Administración de seguridad de Microsoft 365-Practice Tests for the MS-500",Profe Sang,5 horas en total,67 ,Todos los niveles,"14,99 €","19,99 €"
