Title,Organization,Price,Info
"Hacking ético para dummies: conceptos previos
Entiende y entra en el mundo del Hacking ético, con todos los conceptos más básicos, desde el principio.",Lord Astra,"Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total24 clasesPrincipiante"
"Manejo de formato de archivo Geopackage para GIS
El nuevo formato estable para compartir y trabajar con geodatos",Ramiro Jesus Scherer,"Precio actual
19,99 €",39 minutos en total6 clasesPrincipiante
"Domina los SIG con ARCGIS (Nivel Intermedio)
Realiza Analisis Espaciales de calidad a partir de tus datos, Estructura Geodatabase, Modela tus Datos en 3D y mucho Más",Manuel Morales,"Precio actual
14,99 €
Precio original
29,99 €","11,5 horas en total88 clasesIntermedio"
"Exámenes Google Associate Cloud Engineer 2023 | Español
Obtenga la certificación Google Cloud Associate Cloud Engineer con estos completos exámenes de prueba.",Cristina Trinidad,"Precio actual
14,99 €
Precio original
19,99 €",1 hora en total18 clasesPrincipiante
"Google Looker Studio desde Cero
Looker Studio desde cero a experto",Andres Felipe Gallego Muñoz,"Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total14 clasesPrincipiante"
"Professional VMware vSphere 7.x Exam VCP-DCV 2023
Examen profesional de vSphere 7.x VCP-DCV 2023 (código de examen 2V0-21.20) - ACTUALIZACIÓN DE ENERO DE 2023",Ingeniero TEC,"Precio actual
14,99 €
Precio original
19,99 €",1 hora en total25 clasesIntermedio
"Curso de Automation Testing Mobile con Katalon Studio
Comenzá a automatizar pruebas móviles con Katalon Studio desde cero. No se necesitan conocimientos previos.",Matías Panusopulos • +25.000 estudiantes,"Precio actual
14,99 €
Precio original
34,99 €","4,5 horas en total65 clasesTodos los niveles"
"Certificacion ITIL 4 Foundation 2023: 8 EXAMENES
Simulador 2023: Certificación satisfactoria en menos de 7 días!",Dominik Hoppe,"Precio actual
14,99 €
Precio original
24,99 €",3 horas en total22 clasesTodos los niveles
"240 preguntas de simulación de examen ISTQB Foundation Level
240 preguntas con respuestas y justificaciones, para prepararse rumbo a la certificación en pruebas ISTQB fundamentos.",Alejandro Reyes,"Precio actual
14,99 €
Precio original
19,99 €","3,5 horas en total50 clasesPrincipiante"
"Exam AZ-305 - Designing Azure Infrastructure Solutions 2023
Examen AZ-305 - Designing Azure Infrastructure Solutions - Preguntas del examen",Ingeniero TEC,"Precio actual
14,99 €
Precio original
29,99 €",2 horas en total46 clasesPrincipiante
"HPE0-V14 Building HPE Hybrid IT Solutions
HPE0-V14 Building HPE Hybrid IT Solutions Practice Tests",Ingeniero TEC,"Precio actual
14,99 €
Precio original
29,99 €",12 horas en total5 clasesIntermedio
"Modelado de amenazas con STRIDE y Microsoft Modeling Tool
Adquiere conocimientos valiosos en Modelado de Amenazas de Ciberseguridad, con las herramientas mas usadas en esta área",Jorge Andrey Poblador Lizarazo,"Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total10 clasesPrincipiante"
